time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;ground_temp
2021;8;8;19;19.7;36;24;5
2021;8;8;20;17.5;3;2;5
2021;8;8;21;16.1;3;2;5
2021;8;8;22;15.5;2;1;5
2021;8;8;23;14.9;2;1;5
2021;8;9;0;14.4;2;1;5
2021;8;9;1;14.1;2;1;5
2021;8;9;2;13.6;2;1;5
2021;8;9;3;13.4;2;1;5
2021;8;9;4;13.7;2;1;5
2021;8;9;5;13.9;12;10;5
2021;8;9;6;14.6;76;65;5
2021;8;9;7;15.8;155;148;5
2021;8;9;8;16.4;287;250;5
2021;8;9;9;17.3;495;344;5
2021;8;9;10;17.5;500;393;5
2021;8;9;11;18.2;653;412;5
2021;8;9;12;18.9;611;383;5
2021;8;9;13;19.6;483;389;5
2021;8;9;14;20.2;668;313;5
2021;8;9;15;21.1;556;264;5
2021;8;9;16;21.2;311;177;5
2021;8;9;17;20.5;140;133;5
2021;8;9;18;20.8;141;101;5
2021;8;9;19;19.3;27;22;5
2021;8;9;20;18.3;3;1;5
2021;8;9;21;17.5;2;1;5
2021;8;9;22;17;2;1;5
2021;8;9;23;16.5;2;1;5
2021;8;10;0;16.3;2;1;5
2021;8;10;1;16;2;1;5
2021;8;10;2;15.6;2;1;5
2021;8;10;3;15.3;2;1;5
2021;8;10;4;14.9;2;1;5
2021;8;10;5;14.8;13;11;5
2021;8;10;6;15.5;71;64;5
2021;8;10;7;16.9;188;122;5
2021;8;10;8;18.1;389;104;5
2021;8;10;9;19;609;100;5
2021;8;10;10;19.7;658;180;5
2021;8;10;11;21.4;812;102;5
2021;8;10;12;22.1;844;90;5
2021;8;10;13;23.1;829;87;5
2021;8;10;14;24.4;769;89;5
2021;8;10;15;25.1;653;86;5
2021;8;10;16;25.2;499;77;5
2021;8;10;17;25.2;318;81;5
2021;8;10;18;25;150;50;5
2021;8;10;19;23.5;25;18;5
2021;8;10;20;22.6;2;1;5
2021;8;10;21;21.6;2;1;5
2021;8;10;22;21.2;2;1;5
2021;8;10;23;20.8;2;1;5
2021;8;11;0;20.1;2;1;5
2021;8;11;1;19.8;2;1;5
2021;8;11;2;19.4;2;1;5
2021;8;11;3;18.8;2;1;5
2021;8;11;4;18.3;3;1;5
2021;8;11;5;17.8;7;6;5
2021;8;11;6;17.7;53;43;5
2021;8;11;7;19.3;202;87;5
2021;8;11;8;19.9;301;169;5
2021;8;11;9;20.9;598;118;5
2021;8;11;10;21.7;727;118;5
2021;8;11;11;22.6;807;111;5
2021;8;11;12;23.7;833;98;5
2021;8;11;13;24.9;823;94;5
2021;8;11;14;25.9;760;97;5
2021;8;11;15;26.3;647;90;5
2021;8;11;16;26.6;492;75;5
2021;8;11;17;26.5;325;65;5
2021;8;11;18;25.8;145;45;5
2021;8;11;19;24.2;24;17;5
2021;8;11;20;23.4;2;1;5
2021;8;11;21;22.7;2;1;5
2021;8;11;22;22;2;1;5
2021;8;11;23;21.4;2;1;5
2021;8;12;0;20.8;3;1;5
2021;8;12;1;20.2;2;1;5
2021;8;12;2;20.2;2;1;5
2021;8;12;3;19.8;2;1;5
2021;8;12;4;19.4;2;1;5
2021;8;12;5;19.1;9;8;5
2021;8;12;6;19.5;90;43;5
2021;8;12;7;20.9;231;72;5
2021;8;12;8;21.7;432;78;5
2021;8;12;9;22.3;586;93;5
2021;8;12;10;23.3;723;99;5
2021;8;12;11;24.1;807;105;5
2021;8;12;12;25.8;831;104;5
2021;8;12;13;26.2;822;107;5
2021;8;12;14;26.7;719;154;5
2021;8;12;15;27.8;620;161;5
2021;8;12;16;28;455;125;5
2021;8;12;17;26.7;161;134;5
2021;8;12;18;26;53;53;5
2021;8;12;19;25.1;5;4;5
2021;8;12;20;22.3;4;3;5
2021;8;12;21;22.7;1;0;5
2021;8;12;22;23.7;2;1;5
2021;8;12;23;22;3;2;5
2021;8;13;0;20.9;2;1;5
2021;8;13;1;20.5;3;1;5
2021;8;13;2;19.7;2;1;5
2021;8;13;3;19.2;2;1;5
2021;8;13;4;19.2;2;1;5
2021;8;13;5;19.5;8;7;5
2021;8;13;6;19.9;87;51;5
2021;8;13;7;20.8;252;115;5
2021;8;13;8;21.7;410;160;5
2021;8;13;9;21.8;517;169;5
2021;8;13;10;22.6;665;202;5
2021;8;13;11;23.6;721;268;5
2021;8;13;12;24.6;794;171;5
2021;8;13;13;25.4;791;163;5
2021;8;13;14;26.5;703;215;5
2021;8;13;15;27.4;617;158;5
2021;8;13;16;27.4;460;109;5
2021;8;13;17;27.2;265;101;5
2021;8;13;18;26.4;112;72;5
2021;8;13;19;25.6;26;22;5
2021;8;13;20;24.8;2;1;5
2021;8;13;21;23.9;2;1;5
2021;8;13;22;23.5;2;1;5
2021;8;13;23;23;2;1;5
2021;8;14;0;22.1;2;1;5
2021;8;14;1;21.8;2;1;5
2021;8;14;2;21.3;2;1;5
2021;8;14;3;20.8;2;1;5
2021;8;14;4;20.7;2;1;5
2021;8;14;5;20.4;9;7;5
2021;8;14;6;20.4;80;41;5
2021;8;14;7;22;243;87;5
2021;8;14;8;22.6;411;112;5
2021;8;14;9;23.3;561;124;5
2021;8;14;10;24.1;693;128;5
2021;8;14;11;25;785;139;5
2021;8;14;12;25.9;812;126;5
2021;8;14;13;27.3;805;119;5
2021;8;14;14;28;740;125;5
2021;8;14;15;28.2;626;119;5
2021;8;14;16;28.7;466;95;5
2021;8;14;17;29;298;82;5
2021;8;14;18;28.2;129;55;5
2021;8;14;19;26.7;22;18;5
2021;8;14;20;25.5;2;1;5
2021;8;14;21;25;2;1;5
2021;8;14;22;24.3;2;1;5
2021;8;14;23;23.8;2;1;5
2021;8;15;0;23.1;2;1;5
2021;8;15;1;22.3;3;1;5
2021;8;15;2;22;2;1;5
2021;8;15;3;21.3;2;1;5
2021;8;15;4;21.2;2;1;5
2021;8;15;5;20.6;7;6;5
2021;8;15;6;21.3;76;40;5
2021;8;15;7;22.4;211;109;5
2021;8;15;8;23;329;181;5
2021;8;15;9;23.9;541;198;5
2021;8;15;10;25;733;198;5
2021;8;15;11;25.9;781;143;5
2021;8;15;12;26.8;806;130;5
2021;8;15;13;27.9;803;119;5
2021;8;15;14;29;730;133;5
2021;8;15;15;30.4;642;146;5
2021;8;15;16;30.2;478;108;5
2021;8;15;17;29.5;297;79;5
2021;8;15;18;29.3;122;53;5
2021;8;15;19;28.3;21;17;5
2021;8;15;20;26.7;3;2;5
2021;8;15;21;25.5;2;1;5
2021;8;15;22;25.4;2;1;5
2021;8;15;23;23.8;3;2;5
2021;8;16;0;22;3;2;5
2021;8;16;1;20.2;3;1;5
2021;8;16;2;20.2;2;1;5
2021;8;16;3;20.4;2;1;5
2021;8;16;4;21.3;2;1;5
2021;8;16;5;21.3;2;1;5
2021;8;16;6;21;8;7;5
2021;8;16;7;20.7;32;31;5
2021;8;16;8;20.5;60;58;5
2021;8;16;9;20.1;75;74;5
2021;8;16;10;20.4;136;133;5
2021;8;16;11;20.7;287;257;5
2021;8;16;12;21.7;642;278;5
2021;8;16;13;21.8;542;255;5
2021;8;16;14;21.3;434;298;5
2021;8;16;15;21.7;488;298;5
2021;8;16;16;21.8;529;177;5
2021;8;16;17;20.7;257;164;5
2021;8;16;18;19.4;53;50;5
2021;8;16;19;18.9;12;10;5
2021;8;16;20;18.7;2;1;5
2021;8;16;21;18.8;2;1;5
2021;8;16;22;18.6;2;1;5
2021;8;16;23;17.7;3;2;5
2021;8;17;0;15.4;3;2;5
2021;8;17;1;15.6;2;1;5
2021;8;17;2;15.7;2;1;5
2021;8;17;3;15.6;2;1;5
2021;8;17;4;15.7;2;1;5
2021;8;17;5;15.7;5;4;5
2021;8;17;6;15.8;77;67;5
2021;8;17;7;16.8;242;135;5
2021;8;17;8;16.8;175;121;5
2021;8;17;9;17.7;429;287;5
2021;8;17;10;19.1;606;401;5
2021;8;17;11;19.5;436;346;5
2021;8;17;12;20.3;875;256;5
2021;8;17;13;20.5;854;178;5
2021;8;17;14;20.8;741;150;5
2021;8;17;15;21.3;643;142;5
2021;8;17;16;21.2;484;158;5
2021;8;17;17;20.7;226;169;5
2021;8;17;18;19.5;91;83;5
2021;8;17;19;18.5;19;17;5
2021;8;17;20;17.8;2;1;5
2021;8;17;21;17.5;2;1;5
2021;8;17;22;17.1;2;1;5
2021;8;17;23;16.7;2;1;5
2021;8;18;0;16.7;2;1;5
2021;8;18;1;16.5;2;1;5
2021;8;18;2;16.1;2;1;5
2021;8;18;3;15.6;2;1;5
2021;8;18;4;15.2;2;1;5
2021;8;18;5;15;6;4;5
2021;8;18;6;14.9;48;40;5
2021;8;18;7;16.4;138;127;5
2021;8;18;8;17.3;206;203;5
2021;8;18;9;18.3;414;367;5
2021;8;18;10;19.5;610;264;5
2021;8;18;11;20.7;812;169;5
2021;8;18;12;21.1;849;138;5
2021;8;18;13;21.1;809;101;5
2021;8;18;14;21.4;742;96;5
2021;8;18;15;21.7;625;94;5
2021;8;18;16;22.1;476;91;5
2021;8;18;17;22.4;360;129;5
2021;8;18;18;22;148;67;5
2021;8;18;19;20;17;14;5
2021;8;18;20;18.8;2;1;5
2021;8;18;21;18.5;2;1;5
2021;8;18;22;17.7;3;1;5
2021;8;18;23;17;2;1;5
2021;8;19;0;16.8;2;1;5
2021;8;19;1;16.8;2;1;5
2021;8;19;2;17.1;2;1;5
2021;8;19;3;17.3;2;1;5
2021;8;19;4;17.4;2;1;5
2021;8;19;5;17.3;4;3;5
2021;8;19;6;17.4;30;29;5
2021;8;19;7;17.9;78;77;5
2021;8;19;8;18.3;152;149;5
2021;8;19;9;18.5;171;168;5
2021;8;19;10;19.2;371;355;5
2021;8;19;11;19.6;448;427;5
2021;8;19;12;19.9;520;477;5
2021;8;19;13;20.4;618;458;5
2021;8;19;14;21.2;725;163;5
2021;8;19;15;21.7;599;133;5
2021;8;19;16;22.3;444;101;5
2021;8;19;17;22.3;277;79;5
2021;8;19;18;21.2;110;49;5
2021;8;19;19;19.6;13;11;5
2021;8;19;20;19;2;1;5
2021;8;19;21;18.8;2;1;5
2021;8;19;22;18.7;2;1;5
2021;8;19;23;18.6;2;1;5
2021;8;20;0;18;3;1;5
2021;8;20;1;17.3;2;1;5
2021;8;20;2;17.3;2;1;5
2021;8;20;3;17.5;2;1;5
2021;8;20;4;17.7;2;1;5
2021;8;20;5;17.5;6;5;5
2021;8;20;6;18;44;43;5
2021;8;20;7;18.8;119;118;5
2021;8;20;8;19.3;238;212;5
2021;8;20;9;19.9;504;257;5
2021;8;20;10;20.8;733;228;5
2021;8;20;11;21.1;807;219;5
2021;8;20;12;21.9;803;142;5
2021;8;20;13;22.4;793;131;5
2021;8;20;14;23.6;733;125;5
2021;8;20;15;24.3;621;110;5
2021;8;20;16;24.4;467;84;5
2021;8;20;17;24.1;296;65;5
2021;8;20;18;23.1;114;44;5
2021;8;20;19;21.2;11;10;5
2021;8;20;20;20;2;1;5
2021;8;20;21;19.4;2;1;5
2021;8;20;22;19;2;1;5
2021;8;20;23;18.4;2;1;5
2021;8;21;0;18.4;2;1;5
2021;8;21;1;17.9;2;1;5
2021;8;21;2;17.6;2;1;5
2021;8;21;3;17.2;2;1;5
2021;8;21;4;16.9;2;1;5
2021;8;21;5;16.9;6;5;5
2021;8;21;6;17.1;66;34;5
2021;8;21;7;19.3;229;71;5
2021;8;21;8;20.3;397;99;5
2021;8;21;9;20.8;555;119;5
2021;8;21;10;21.5;685;127;5
