tre200h0;gls;str.diffus;ground_temp
3.1;86;85;5
4.4;159;156;5
5.7;193;188;5
5.9;209;193;5
7.0;274;178;5
7.7;242;140;5
8.5;116;104;5
7.5;40;38;5
7.0;5;4;5
6.7;3;1;5
6.3;2;1;5
6.6;2;1;5
7.0;2;1;5
7.6;2;1;5
7.1;3;1;5
8.5;2;1;5
8.0;3;2;5
7.9;2;1;5
8.8;2;1;5
9.0;2;1;5
8.6;3;1;5
8.1;2;1;5
7.3;3;2;5
7.4;10;8;5
7.4;22;21;5
7.9;40;39;5
8.3;80;78;5
8.7;79;77;5
9.2;72;71;5
9.3;70;69;5
9.7;44;43;5
9.6;37;36;5
8.6;5;4;5
9.1;2;1;5
9.7;2;1;5
9.9;2;1;5
9.4;3;1;5
9.0;3;2;5
8.6;2;1;5
7.9;4;2;5
6.8;2;1;5
7.2;2;1;5
7.2;3;1;5
7.3;2;1;5
6.7;2;1;5
6.6;2;1;5
5.8;3;1;5
6.2;30;27;5
6.3;60;52;5
7.8;159;114;5
10.0;346;151;5
8.6;184;179;5
8.9;141;137;5
8.6;109;103;5
9.2;100;94;5
8.6;32;31;5
8.8;4;2;5
7.4;3;2;5
6.8;3;1;5
6.6;2;1;5
5.3;3;2;5
4.0;2;1;5
3.2;4;2;5
2.7;2;1;5
3.3;2;1;5
3.5;2;1;5
3.5;2;1;5
2.6;3;2;5
3.0;2;1;5
2.7;3;1;5
2.5;3;1;5
2.5;25;24;5
2.6;74;62;5
3.7;279;78;5
4.2;393;115;5
3.8;167;145;5
4.5;146;144;5
4.5;74;73;5
3.9;26;24;5
3.7;10;9;5
2.1;3;2;5
2.7;2;1;5
3.4;2;1;5
5.7;2;1;5
4.5;4;2;5
4.3;2;1;5
5.0;2;1;5
4.5;3;1;5
4.2;2;1;5
4.1;2;1;5
3.9;3;1;5
3.0;3;2;5
1.9;3;2;5
1.4;3;1;5
0.8;3;2;5
0.6;25;12;5
1.2;106;38;5
2.9;269;53;5
4.0;407;96;5
4.0;417;66;5
4.1;409;47;5
4.2;341;50;5
3.9;172;99;5
3.5;51;50;5
3.4;5;3;5
3.3;3;1;5
3.8;3;1;5
