tre200h0;gls;str.diffus;ground_temp
1.0;3;1;5
0.8;3;1;5
0.5;3;1;5
0.1;3;1;5
-0.3;3;1;5
-0.8;2;1;5
-1.6;2;1;5
-2.1;2;1;5
-2.6;2;1;5
-2.9;2;1;5
-3.2;2;1;5
-3.2;2;1;5
-3.2;2;1;5
-3.1;2;1;5
-2.9;11;9;5
-2.2;42;41;5
-1.2;76;75;5
-0.9;99;98;5
-0.5;130;129;5
-0.3;179;176;5
-0.1;179;177;5
-0.3;78;77;5
-0.2;22;20;5
0.1;4;2;5
0.2;3;1;5
0.3;3;1;5
0.5;3;1;5
0.5;3;1;5
-0.1;3;1;5
-0.1;3;1;5
-0.2;2;1;5
-0.1;2;1;5
-0.3;2;1;5
-0.1;2;1;5
0.4;2;1;5
0.6;2;1;5
1.0;2;1;5
1.1;2;1;5
1.4;9;8;5
1.6;31;30;5
2.0;54;53;5
2.1;44;43;5
2.4;66;65;5
2.5;46;45;5
2.3;39;38;5
2.1;53;52;5
2.4;46;44;5
2.3;6;5;5
2.3;2;1;5
2.1;2;1;5
2.0;2;1;5
1.9;2;1;5
1.8;3;1;5
1.6;2;1;5
1.7;2;1;5
1.6;2;1;5
1.6;3;1;5
1.3;3;1;5
1.0;3;1;5
1.1;2;1;5
1.4;2;1;5
1.3;3;1;5
1.3;14;13;5
1.9;74;70;5
2.8;161;106;5
2.5;102;92;5
3.1;272;194;5
3.8;407;96;5
3.9;326;115;5
3.7;183;120;5
3.4;75;58;5
2.3;8;6;5
1.4;3;1;5
1.1;3;1;5
0.9;3;1;5
0.6;3;1;5
0.1;3;1;5
-0.2;3;1;5
-0.9;3;1;5
-1.1;2;1;5
-1.4;2;1;5
-1.5;2;1;5
-1.2;2;1;5
-0.4;3;1;5
-0.8;3;1;5
-1.0;3;1;5
-1.1;36;25;5
0.2;110;55;5
1.4;231;85;5
2.1;333;84;5
2.7;385;73;5
3.2;368;64;5
3.2;312;62;5
3.9;194;49;5
4.3;66;40;5
3.1;9;8;5
1.9;3;1;5
1.5;3;1;5
1.9;2;1;5
1.6;3;2;5
1.8;2;1;5
1.4;3;1;5
1.3;3;1;5
1.6;3;1;5
1.8;2;1;5
1.8;3;1;5
1.5;3;1;5
1.2;3;1;5
1.3;3;1;5
2.1;3;2;5
2.6;35;27;5
